x	sin	cos	func
-1	-0,001592653	-0,999998732	-1,001591385
-0,9	-0,31037991	-0,950612598	-1,260992508
-0,8	-0,588815562	-0,808267427	-1,397082989
-0,7	-0,809671788	-0,586882949	-1,396554737
-0,6	-0,951351376	-0,308108031	-1,259459408
-0,5	-0,999999683	0,000796327	-0,999203356
-0,4	-0,950859461	0,309622813	-0,641236647
-0,3	-0,808736061	0,58817173	-0,22056433
-0,2	-0,587527526	0,809204181	0,221676655
-0,1	-0,30886552	0,95110572	0,6422402
0	0	1	1
0,1	0,30886552	0,95110572	1,25997124
0,2	0,587527526	0,809204181	1,396731707
0,3	0,808736061	0,58817173	1,396907791
0,4	0,950859461	0,309622813	1,260482274
0,5	0,999999683	0,000796327	1,00079601
0,6	0,951351376	-0,308108031	0,643243345
0,7	0,809671788	-0,586882949	0,22278884
0,8	0,588815562	-0,808267427	-0,219451865
0,9	0,31037991	-0,950612598	-0,640232688
1	0,001592653	-0,999998732	-0,998406079
