x	"f u n c 1"	func2	func3
-1	0,001592655	1	0
-0,9	0,326505151	0,6561	0,094824464
-0,8	0,728491019	0,4096	0,178514841
-0,7	1,379613755	0,2401	0,249672461
-0,6	3,087720149	0,1296	0,306495374
-0,5	-1255,765592	0,0625	0,34657359
-0,4	-3,071025197	0,0256	0,366516293
-0,3	-1,374999883	0,0081	0,361191841
-0,2	-0,726055969	0,0016	0,321887582
-0,1	-0,324743626	0,0001	0,230258509
0	0	0	#×ÈÑËÎ!
0,1	0,324743626	0,0001	-0,230258509
0,2	0,726055969	0,0016	-0,321887582
0,3	1,374999883	0,0081	-0,361191841
0,4	3,071025197	0,0256	-0,366516293
0,5	1255,765592	0,0625	-0,34657359
0,6	-3,087720149	0,1296	-0,306495374
0,7	-1,379613755	0,2401	-0,249672461
0,8	-0,728491019	0,4096	-0,178514841
0,9	-0,326505151	0,6561	-0,094824464
1	-0,001592655	1	0
