t	" sin синус"	cos
-1	0,003185302	0,999994927
!This is a comment. Это комментарий
-0,9	0,590102105	0,807328623
-0,8	0,951840879	0,306592468
-0,7	0,950365133	-0,311136809
-0,6	0,586237999	-0,810138882
-0,5	-0,001592653	-0,999998732
-0,4	-0,588815562	-0,808267427
-0,3	-0,951351376	-0,308108031
-0,2	-0,950859461	0,309622813
-0,1	-0,587527526	0,809204181
0	0	1
0,1	0,587527526	0,809204181
0,2	0,950859461	0,309622813
0,3	0,951351376	-0,308108031
0,4	0,588815562	-0,808267427
0,5	0,001592653	-0,999998732
0,6	-0,586237999	-0,810138882
0,7	-0,950365133	-0,311136809
0,8	-0,951840879	0,306592468
0,9	-0,590102105	0,807328623
1	-0,003185302	0,999994927
